


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
和歌山大学  和歌山大学紀伊半島価値共創基幹・准教授又は講師１名の公募  人文学 - 文化人類学 -- 総合人文社会 - 地域研究  常勤 (任期なし)  2021年03月31日
メトロウェザー株式会社  気象アナリスト  工学 - プロセス工学・化学工学  常勤 (任期なし)  2021年03月31日
国立障害者リハビリテーションセンター研究所  運動機能系障害研究部 研究員の公募  医歯薬学 - 全て -- 複合領域 - 人間医工学  常勤 (任期なし)  2021年02月19日
名古屋大学  複雑系科学専攻　教授公募  情報学 - 計算基盤  常勤 (任期なし)  2021年01月29日
福島県立医科大学  総合科学教育研究センター（看護学部総合科学部門・医療統計学担当）教授の募集 について  医歯薬学 - 看護学 -- その他 - 医療統計学  常勤 (任期なし)  2021年03月31日
高崎健康福祉大学  社会福祉学科〔PSW〕の専任教員の公募について  社会科学 - 社会学  常勤 (任期なし)  2021年02月12日
静岡県立大学  大学院国際関係学研究科（比較文化専攻）助教の公募(アジアの文化・社会)  総合人文社会 - 全て -- 社会科学 - 全て -- 人文学 - 全て  常勤 (任期なし)  2021年02月18日
武庫川女子大学  専任教員（教授または准教授）の公募について（社会学分野）  社会科学 - 社会学  常勤 (任期なし)  2021年02月28日
平安女学院大学  子ども教育学部　教授または准教授または助教の公募（英語学または英語コミュニケーション））  人文学 - 言語学 -- 人文学 - 文学 -- 社会科学 - 教育学  常勤 (任期なし)  2021年02月08日
武蔵大学  経済学関連科目専任教員の公募（環境経済学、計量経済学、国際経済学  社会科学 - 経済学  常勤 (任期なし)  2021年03月05日
駒澤大学  仏教学科専任講師の公募（インド仏教）  人文学 - インド哲学・仏教学  常勤 (任期なし)  2021年04月19日
大阪大学  教授の公募（社会システム学講座みず工学領域）  工学 - 土木工学  常勤 (任期なし)  2021年03月31日
関西大学  関西大学総合情報学部専任教員公募【専門分野 管理会計論】  社会科学 - 経営学  常勤 (任期なし)  2021年04月12日
公益財団法人海洋生物環境研究所  研究員の募集（専門分野 海産無脊椎動物学）  生物学 - 海産無脊椎動物学 -- 生物学 - 生物科学 -- 生物学 - 基礎生物学  常勤 (任期なし)  2021年03月05日
