


tenure stats : 常勤 (任期なし)=242,常勤 (任期あり)=538,非常勤 (任期あり)=253,Full-time (Nontenured)=109,Part-time (Nontenured)=11,常勤 (テニュアトラック)=16,Full-time (Tenured)=1




==== TENURE  常勤 (任期なし)  ===== 
九州大学  文学部門仏文学講座 准教授、又は講師１名  人文学 - 文学  常勤 (任期なし)  2021年03月11日
京都大学  ウイルス・再生医科学研究所　がん・幹細胞シグナル分野　特定研究員の公募  生物学 - 全て -- 医歯薬学 - 全て  常勤 (任期あり)  2021年03月31日
九州産業大学  九州産業大学生命科学部生命科学科　専任教員【助手】の公募について  農学 - 食品科学 -- 農学 - 応用生物化学 -- 生物学 - 生物機能化学  常勤 (任期あり)  2021年02月10日
立命館大学  立命館グローバル・イノベーション研究機構「高齢者の認知的コミュニケーションの支援に向けた学際的研究拠 点の形成」　専門研究員　募集（情報学）  情報学 - ヒューマンインタフェース・インタラクション -- 情報学 - 感性情報学 -- 情報学 - 情報デザイン  常勤 (任期あり)  2021年03月31日
愛媛大学  大学院農学研究科　生物環境学専攻　環境保全学コース（水圏・土壌環境学　特定研究員）の募集  農学 - 全て -- 生物学 - 全て -- 環境学 - 全て  常勤 (任期あり)  2021年03月19日
ノースアジア大学明桜高等学校  ノースアジア大学明桜高等学校教員募集（数学）  社会科学 - 教育学 -- 社会科学 - 教科教育学 -- 社会科学 - 数学の教育、生活指導・生徒指導、進路相談  常勤 (任期あり)  2021年01月29日
公益財団法人医療科学研究所  ポスドク募集（医療政策、医療経済、医療産業などの分野）  医歯薬学 - 社会医学 -- 社会科学 - 社会学 -- 情報学 - 情報学フロンティア  常勤 (任期あり)  2021年01月29日
消費者庁  消費者庁消費者安全課事故調査室（任期付職員の募集）  社会科学 - 法学 -- 工学 - 機械工学 -- 医歯薬学 - 社会医学  常勤 (任期あり)  2021年02月22日
目白大学  目白大学心理学部心理カウンセリング学科　助教募集のお知らせ  社会科学 - 心理学 -- 社会科学 - 社会学  常勤 (任期あり)  2021年02月10日
愛知工科大学  助教又は准教授の公募  工学 - 機械工学 -- 情報学 - 人間情報学 -- 情報学 - 情報学基礎  常勤 (任期あり)  2021年02月19日
帝京中学校・高等学校  地歴公民科（社会科）常勤講師または非常勤講師の公募  人文学 - 地歴公民、特に「地理」  常勤 (任期あり)  2021年01月30日
東京大学  誤り耐性型量子コンピュータにおける理論・ソフトウェアの研究開発 に関する博士研究員の公募  数物系科学 - 物理学 -- 情報学 - 計算基盤 -- 情報学 - 情報学基礎  常勤 (任期あり)  2021年03月31日
沖縄科学技術大学院大学  技術員募集（衝撃波・ソリトン・乱流（S2T）ユニット）  総合理工 - リモートセンサー開発業務  常勤 (任期あり)  2021年03月31日
貞静学園短期大学  保育学科　保育関係教科　専任講師または准教授募集  社会科学 - 全て  常勤 (任期あり)  2021年02月20日
名古屋大学  名古屋大学宇宙地球環境研究所研究員の公募  数物系科学 - 地球惑星科学 -- 環境学 - 環境解析学 -- 工学 - 土木工学  常勤 (任期あり)  2021年03月01日
九州大学  物理学部門助教の公募  数物系科学 - 物理学  常勤 (任期あり)  2021年03月26日
ノースアジア大学明桜高等学校  ノースアジア大学明桜高等学校教員募集（地歴公民）  社会科学 - 教育学 -- 社会科学 - 教科教育学 -- 社会科学 - 地歴公民の教育、生活指導・生徒指導、進路相談  常勤 (任期あり)  2021年02月26日
信州大学  施設系技術職員（任期付常勤職員）の公募  工学 - 建築学 -- 工学 - 電気電子工学 -- 工学 - 機械工学  常勤 (任期あり)  2021年02月15日
常磐大学  常磐大学 総合政策学部 准教授または助教（英語教育学、英語学またはその隣接領域）  人文学 - 言語学 -- 人文学 - 文学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年02月12日
千葉大学  千葉大学予防医学センター・健康都市・空間デザインラボの特任助教又は特任研究員の公募  工学 - 全て -- 医歯薬学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月04日
大阪大学  特任助教の公募（日本語日本文化教育センター）  人文学 - 言語学 -- その他 - 日本語教育学、又はその関連分野  常勤 (任期あり)  2021年02月18日
北海道文教大学  国際学部国際コミュニケーション学科（英語教育学）専任教員の公募  人文学 - 言語学  常勤 (任期あり)  2021年02月24日
愛媛大学  （募集期間延長）研究員の公募（プロテオサイエンスセンター　マラリア研究部門）  医歯薬学 - 基礎医学 -- 生物学 - 生物科学  常勤 (任期あり)  2021年03月31日
国立研究開発法人理化学研究所  テクニカルスタッフⅠ募集（W20257）(天然物生合成研究ユニット)  化学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2022年01月22日
大阪大学  特任研究員または特任助教の公募（蛋白質研究所分子創製学研究室）  総合生物 - 全て -- 医歯薬学 - 基礎医学 -- 複合領域 - 生体分子科学  常勤 (任期あり)  2021年06月30日
大阪体育大学  大阪体育大学スポーツ科学センター研究職員（スポーツ心理ディレクター）募集  複合領域 - 健康・スポーツ科学 -- その他 - スポーツ科学（3）スポーツ心理学  常勤 (任期あり)  2021年01月31日
大阪体育大学  大阪体育大学スポーツ科学センター研究職員（測定評価）募集  複合領域 - 健康・スポーツ科学 -- その他 - スポーツ科学（6）トレーニング科学  常勤 (任期あり)  2021年02月15日
国立研究開発法人科学技術振興機構  研究成果最適展開支援プログラム（A-STEP）にかかる常勤職員（任期付）の募集（産学連携展開部）  その他 - 科学技術  常勤 (任期あり)  2021年02月12日
国立研究開発法人物質・材料研究機構  NIMSエンジニア職 (任期制)募集（IT室）  情報学 - 計算基盤 -- 情報学 - 情報学フロンティア -- 情報学 - 全て  常勤 (任期あり)  2021年04月22日
健康科学大学  健康科学大学専任教員公募（理学療法学科　助教　内部障害系理学療法学及び運動学）  その他 - 内部障害系理学療法学 -- その他 - 運動学  常勤 (任期あり)  2021年02月10日
西九州大学  西九州大学健康栄養学部健康栄養学科 助手の公募  複合領域 - 生活科学 -- 複合領域 - 栄養学  常勤 (任期あり)  2021年02月17日
東北大学  助教の公募（大学入試学分野）  その他 - 大学入試学（主として「教育工学」、ICT関連分野）  常勤 (任期あり)  2021年02月26日
株式会社KDDI総合研究所  有期契約研究員の募集(AR/VR分野）  情報学 - 全て -- 工学 - 電気電子工学 -- 数物系科学 - 数学  常勤 (任期あり)  2021年03月31日
奈良保育学院  幼児体育等担当常勤講師公募  社会科学 - 教育学  常勤 (任期あり)  2021年02月12日
イーター国際核融合エネルギー機構  イーター国際核融合エネルギー機構職員（専門職員:2名IO0316他）の公募  工学 - 全て -- 数物系科学 - 全て -- 総合理工 - 全て  常勤 (任期あり)  2021年02月28日
東筑紫短期大学  教員の公募（幼児教育、幼稚園教諭・保育士養成関係科目〔言葉、人間関係、幼児の理解と教育相談 等〕）  社会科学 - 教育学 -- その他 - 幼児教育関係、保育士養成関係 -- その他 - 幼児教育  常勤 (任期あり)  2021年02月12日
東筑紫短期大学  教員の公募（幼児教育、保育士養成科目〔保育指導論、保育内容、保育実習指導、保育所実習〕）  社会科学 - 教育学 -- その他 - 幼児教育関係、保育士養成関係 -- その他 - 保育学  常勤 (任期あり)  2021年02月12日
公益財団法人東京都医学総合研究所  常勤研究員の公募（ゲノム医学研究センター）  総合生物 - ゲノム科学 -- 生物学 - 生物科学 -- 生物学 - 基礎生物学  常勤 (任期あり)  2021年03月26日
群馬医療福祉大学  社会福祉学部社会福祉学科(社会福祉士養成)　専任教員の公募について  社会科学 - 社会学 -- 社会科学 - 社会福祉士養成  常勤 (任期あり)  2021年02月26日
千葉大学  千葉大学予防医学センター・健康都市・空間デザインラボの特任助教又は特任研究員の公募  工学 - 全て -- 医歯薬学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月18日
国立研究開発法人理化学研究所  研究員・テクニカルスタッフ募集（CMD2002）(計算分子設計研究チーム)  化学 - 全て -- 総合理工 - 計算科学 -- 生物学 - 全て  常勤 (任期あり)  2022年01月25日
秋田公立美術大学  コミュニケーションデザイン専攻助手（コミュニケーションデザイン）の公募  複合領域 - デザイン学 -- その他 - コミュニケーションデザイン -- 人文学 - 芸術学  常勤 (任期あり)  2021年02月24日
大妻女子大学  教授、准教授または専任講師の公募（英語圏文学・文化、およびその関連分野）  人文学 - 文学 -- 人文学 - 言語学 -- 人文学 - 英語教育学  常勤 (任期あり)  2021年02月26日
中京大学  中京大学学生サポート・コーディネーター採用募集（2021年4月以降採用）  社会科学 - 心理学 -- 社会科学 - 社会学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年02月05日
国立研究開発法人日本原子力研究開発機構  研究開発を実施するグループのリーダー公募（応力・イメージング研究グループ）  総合理工 - 量子ビーム科学 -- 工学 - 機械工学  常勤 (任期あり)  2021年02月12日
ノースアジア大学明桜高等学校  ノ―スアジア大学明桜高等学校教員募集（国語）  社会科学 - 教育学 -- 社会科学 - 教科教育学 -- 社会科学 - 国語の教育、生活指導・生徒指導、進路相談  常勤 (任期あり)  2021年02月26日
大手前大学  大手前大学 経営学部（設置構想中）「マーケティング分野」専攻専任教員（教授、准教授、講師）募集  社会科学 - 経営学  常勤 (任期あり)  2021年03月07日
大手前大学  大手前大学 経営学部（設置構想中）「会計分野」専任教員（教授、准教授、講師）募集  社会科学 - 経営学  常勤 (任期あり)  2021年03月07日
九州大学  ポスドク [人工知能に関する研究]　九州大学  総合理工 - 計算科学 -- 複合領域 - 脳科学 -- 情報学 - 全て  常勤 (任期あり)  2021年03月31日
東京農工大学  助教の公募（グローバルイノベーション研究院　化学工学、粉体工学、物質エネルギーシステム分野）  工学 - プロセス工学・化学工学 -- 工学 - 粉体工学 -- 工学 - 物質エネルギーシステム  常勤 (任期あり)  2021年02月12日
大手前大学  大手前大学 経営学部（設置構想中）「情報学分野」専任教員（准教授、講師）募集  情報学 - 全て -- 社会科学 - 経営学  常勤 (任期あり)  2021年03月07日
外務省  任期付外務省職員の臨時募集（第三国際情報官室（朝鮮半島にかかる情勢分析））  総合人文社会 - 地域研究  常勤 (任期あり)  2021年02月12日
東洋大学  健康スポーツ科学部（設置構想中）の助教（教育学分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年03月18日
大阪大学  特任講師の公募（日本語日本文化教育センター）  人文学 - 言語学 -- 人文学 - 日本語・日本文化  常勤 (任期あり)  2021年02月18日
北九州市立大学  地域戦略研究所の特任教員の公募  社会科学 - 経済学 -- 社会科学 - 経営学 -- 総合人文社会 - 地域研究  常勤 (任期あり)  2021年02月15日
国立研究開発法人科学技術振興機構  ムーンショット型研究開発事業にかかる常勤職員（任期付）の募集（挑戦的研究開発プログラム部）  工学 - 全て -- その他 - 自然科学  常勤 (任期あり)  2021年07月25日
文部科学省  文部科学省総合教育政策局調査企画課専門職（学力調査分析担当）（任期付職員）の募集  社会科学 - 教育学 -- 社会科学 - 心理学 -- 社会科学 - 経済学  常勤 (任期あり)  2021年02月05日
環太平洋大学  【教職に関する科目】、教員採用試験対策講座等分野の公募  社会科学 - 教育学 -- 複合領域 - 全て  常勤 (任期あり)  2021年02月10日
国際短期大学  英語専任講師（ネイティブスピーカー）募集（週２日勤務）  人文学 - 全て -- 社会科学 - 全て -- その他 - 全て  常勤 (任期あり)  2021年02月08日
国立研究開発法人理化学研究所  任期制研究員募集（C20-1201）（生物系ビームライン基盤グループ）  生物学 - 全て -- 医歯薬学 - 医科学  常勤 (任期あり)  2021年01月29日
国立研究開発法人理化学研究所  研究員または特別研究員募集 (W20209)（言語発達研究チーム）  複合領域 - 脳科学  常勤 (任期あり)  2021年12月25日
国立研究開発法人理化学研究所  研究員または特別研究員募集 (W20210)（言語発達研究チーム）  複合領域 - 脳科学  常勤 (任期あり)  2021年12月25日
秋田公立美術大学  大学院助手（情報技術）の公募  複合領域 - デザイン学  常勤 (任期あり)  2021年02月24日
愛知工科大学  助教もしくは准教授の公募（知能情報学分野）  情報学 - 人間情報学 -- 情報学 - 計算基盤  常勤 (任期あり)  2021年05月07日
筑波大学  教員の公募／筑波大学体育系特任助教／コーチング学分野（バレーボールコーチング論）  その他 - コーチング学分野（バレーボールコーチング論） -- 複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年02月17日
筑波大学  教員の公募／筑波大学体育系特任助教／コーチング学分野（剣道コーチング論）  その他 - コーチング学分野（剣道コーチング論） -- 複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年02月22日
筑波大学  教員の公募／筑波大学体育系特任助教／コーチング学分野（体操コーチング論）  その他 - コーチング学分野（体操コーチング論） -- 複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年02月22日
東洋大学  健康スポーツ科学部（設置構想中）の助教（食理学分野）の募集について（2023年4月採用）  複合領域 - 生活科学 -- 医歯薬学 - 薬学 -- 農学 - 農芸化学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（スポーツビジネス・スポーツマネジメント分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（スポーツ情報（バイオメカニクスを含む）分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（コーチング分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（アスレティック・トレーニング分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（スポーツ人文社会科学・国際交流分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（健康科学分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
東洋大学  健康スポーツ科学部（設置構想中）の助教（運動生理学分野）の募集について（2023年4月採用）  複合領域 - 健康・スポーツ科学  常勤 (任期あり)  2021年03月18日
国立研究開発法人科学技術振興機構  次期FDプロジェクトにかかる任期制職員の募集(研究事業情報グループ)  情報学 - 全て  常勤 (任期あり)  2021年07月25日
京都大学  特定講師または特定助教の公募（学際融合教育研究推進センター・次世代研究創成ユニット）  複合領域 - 研究者の育成プログラム開発にかかる研究  常勤 (任期あり)  2021年02月25日
京都光華女子大学  大学健康科学部健康栄養学科実習助手（事務職員）の募集  複合領域 - 生活科学  常勤 (任期あり)  2021年02月19日
京都大学  遺伝医学講座　分子遺伝学分野　助教相当および研究員の公募  農学 - 全て -- 医歯薬学 - 全て -- 生物学 - 全て  常勤 (任期あり)  2021年02月26日
九州栄養福祉大学  教員の公募（管理栄養士養成 専門教育科目〔臨床栄養学・臨地実習関係〕）  複合領域 - 生活科学 -- 医歯薬学 - 臨床栄養学、臨床栄養学実習　等 -- その他 - 臨床栄養学、臨床栄養学実習　等  常勤 (任期あり)  2021年02月12日
東京大学  東京大学学術専門職員（生物学実験研究補助員、テクニシャン）の募集  総合生物 - 全て -- 生物学 - 全て -- 農学 - 全て  常勤 (任期あり)  2021年02月20日
川村学園女子大学  准教授または講師の公募（教育学部 幼児教育学科）（人間関係）  社会科学 - 教育学 -- 複合領域 - 子ども学 -- 複合領域 - 生活科学  常勤 (任期あり)  2021年02月16日
大和大学  【専任教員公募】「政策論（情報・公共・経済）」（新設　情報学部（仮称））  社会科学 - 全て -- 社会科学 - 政治学 -- 社会科学 - 経済学  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「英語科目」（新設　情報学部（仮称））  人文学 - 言語学 -- 人文学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「社会心理・意思決定」（新設　情報学部（仮称））  社会科学 - 全て -- 社会科学 - 心理学 -- 社会科学 - 社会学  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「社会学・社会調査」（新設　情報学部（仮称））  社会科学 - 社会学 -- 社会科学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「情報学分野」（新設　情報学部（仮称））  情報学 - 全て -- 情報学 - 情報学基礎 -- 社会科学 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「経営学分野」（新設　情報学部（仮称））  社会科学 - 経営学 -- 社会科学 - 全て -- 総合人文社会 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「データサイエンス分野」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 社会科学 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「統計・調査法（量的・質的）」（新設　情報学部（仮称））  社会科学 - 全て -- 情報学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「認知科学」（新設　情報学部（仮称））  社会科学 - 心理学 -- 情報学 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「社会情報学」（新設　情報学部（仮称））  情報学 - 全て -- 社会科学 - 全て -- 社会科学 - 社会学  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「経済学分野」（新設　情報学部（仮称））  社会科学 - 経済学 -- 社会科学 - 全て -- 社会科学 - 経営学  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「プログラミング・ネットワークシステム」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 工学 - 全て  常勤 (任期あり)  2021年02月26日
大和大学  【専任教員公募】「機械学習・人工知能」（新設　情報学部（仮称））  情報学 - 全て -- 総合理工 - 全て -- 複合領域 - 全て  常勤 (任期あり)  2021年02月26日
東京理科大学  ポストドクトラル研究員募集（材料系ならば分野問わない）  化学 - 材料化学 -- 工学 - 材料工学 -- 化学 - 全て  常勤 (任期あり)  2021年02月28日
桃山学院教育大学  特別任⽤教員（教授、准教授または講師）の公募（社会）  社会科学 - 教育学  常勤 (任期あり)  2021年02月12日
国立研究開発法人日本原子力研究開発機構  研究開発を実施するグループのリーダー公募（環境動態研究グループリーダー ）  環境学 - 環境解析学 -- 工学 - 総合工学  常勤 (任期あり)  2021年02月17日
鴻池学園高等専修学校  高等専修学校教員の公募(情報)常勤職員募集  社会科学 - 情報  常勤 (任期あり)  2021年03月31日
国立研究開発法人理化学研究所  研究員または特別研究員募集（W20263）(構造的学習チーム）  工学 - 全て -- 情報学 - 数理・情報科学 -- 総合理工 - 計算科学  常勤 (任期あり)  2022年01月27日
目白大学  目白大学人間学部児童教育学科　特任教授、特任准教授または特任専任講師募集のお知らせ  社会科学 - 教育学  常勤 (任期あり)  2021年02月09日
安田小学校  2021年4月採用　臨時教員の募集  人文学 - 全て  常勤 (任期あり)  2021年02月12日
東京工業大学  研究員募集（加藤研究室　カーボンニュートラル化に向けた固体酸化物形電気分解セル、燃料電池開発分野）  工学 - プロセス工学・化学工学 -- 化学 - 材料化学 -- 化学 - 複合化学  常勤 (任期あり)  2021年03月15日
国立研究開発法人物質・材料研究機構  研究業務員 (任期制)募集（ワイドギャップ半導体グループ）  工学 - 材料工学 -- 数物系科学 - 物理学  常勤 (任期あり)  2021年04月27日
同志社大学  同志社大学 特定業務職員（有期)  （実験実習支援要員・電気電子分野）  工学 - 電気電子工学  常勤 (任期あり)  2021年02月22日
小田原短期大学  専任教員「教授・准教授・専任講師・助教」（特任）の公募　保育学科通信教育課程「幼児教育分野・教育実習・造形関係」  社会科学 - 教育学 -- 複合領域 - 子ども学 -- その他 - 保育学  常勤 (任期あり)  2021年02月28日
長崎短期大学  地域共生学科専任教員キャリア科目担当（助教以上）の公募  総合人文社会 - 地域研究 -- 総合人文社会 - キャリア  常勤 (任期あり)  2021年02月28日
東京大学  ポスドク募集（流体力学）  工学 - 機械工学  常勤 (任期あり)  2021年09月30日
ECC国際外語専門学校  大学編入の国際関係科目の指導ができる専任教員募集  社会科学 - 政治学  常勤 (任期あり)  2021年02月22日
常磐短期大学  常磐短期大学 幼児教育保育学科 【幼児教育・保育分野（領域｢言葉｣、日本語表現）】 教授、准教授または助教の公募  人文学 - 言語学 -- 人文学 - 文学 -- 社会科学 - 教育学  常勤 (任期あり)  2021年02月12日
長野大学  専任教員の公募（ソーシャルワーク論分野）  社会科学 - 社会学  常勤 (任期あり)  2021年02月07日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-181)ワイヤレスエミュレーションテストベッドの高度化に関する研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
一般財団法人総合科学研究機構  技術系任期付職員の公募（公募番号 20-8）  総合理工 - 量子ビーム科学 -- 化学 - 全て  常勤 (任期あり)  2021年02月26日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-51)大容量光・電波融合伝送システムの構築・評価と設備・装置類の維持管理・性能向上業務および設備装置類の使用サポｰト業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-172)クラウドサービスおよびクラウドシステムの開発・検証・運用（１）  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
駒澤大学  2021年度　駒澤大学コミュニティ・ケアセンター 常勤嘱託（カウンセラー）募集  社会科学 - 全て  常勤 (任期あり)  2021年02月18日
大和大学  【急募】教授の公募（社会学部　放送メディア論担当）  総合人文社会 - 全て -- 人文学 - 全て -- 社会科学 - 全て  常勤 (任期あり)  2021年02月20日
大和大学  【急募】教授の公募（社会学部　メディア制作演習担当）  総合人文社会 - 全て -- 人文学 - 全て -- 社会科学 - 全て  常勤 (任期あり)  2021年02月20日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-11)人工衛星搭載用宇宙環境センサーの開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-14)原子時計用マイクロガスセルに関する研究  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-26)デジタルホログラムプリント技術の研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-45)タフ環境に適応する無線アクセス技術の研究開発及びプロジェクト推進  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-54)光ネットワークのレジリエンシー強化に関する研究  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-105)生物情報の高精度計測と応用技術の研究開発  総合理工 - 全て -- 生物学 - 生物科学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-107)「２０５０年までに、経済・産業・安全保障を飛躍的に発展させる誤り耐性型汎用量子コンピュータを実現」  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-68)ブロックチェーンやエッジコンピューティングを応用した革新的ネットワークに関する研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-67)AIと仮想化などのネットワーク技術を融合させた先進的ネットワーク技術の研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-113)実用的な連続量量子鍵配送技術の研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-114)量子鍵配送ネットワークにおけるネットワーク符号化技術に関する研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-170)先進的な多言語音声認識・合成技術の研究開発  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-176)次世代機械翻訳アルゴリズムの研究開発業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究員公募 (公募No.2021R-177)同時通訳における要約・省略補完の研究  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-25)スマートデータ利活用基盤研究のための実験システムの構築運用に関する開発業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  ＮＩＣＴ有期研究技術員公募 (公募No.2021T-26)スマートデータ利活用基盤研究のための実験システムの構築運用及び実証実験に関する開発業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-27)スマートデータ利活用基盤研究のための実験システムの設計、構築運用及び実証・公開に関する開発業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募(公募No.2021T-29)Webセキュリティ分析のためのデータベース構築・管理業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-31)大規模計算機基盤における仮想環境・コンテナ環境の高度化に関する研究開発および管理・運用業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-35)大規模データセット公開システムの開発および管理・運用業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
国立研究開発法人情報通信研究機構  【再公募】ＮＩＣＴ有期研究技術員公募 (公募No.2021T-33)大規模計算機基盤の管理・運用・セキュリティ監視・診断および設計・構築業務  工学 - 電気電子工学 -- 情報学 - 全て -- 総合理工 - 応用物理学  常勤 (任期あり)  2021年02月17日
