



==== TENURE  常勤 (任期なし)  ===== 
D120111630  高千穂大学 専任教育職員（民法（法律行為）、民法（債権）、民法（契約）、民法（物権変動と担保）、法律学、ゼミⅠ及び専門ゼミ）の公募について 社会科学 - 法学 常勤 (任期なし) 2021年01月08日
D120111794  医薬品メーカー [非公開]　正社員 【診療放射線技師有資格者限定】　治験のエビデンス医療画像の解析業務 医歯薬学 - 全て -- 工学 - 全て 常勤 (任期なし) 2021年06月30日
D120111542  奈良先端科学技術大学院大学 先端科学技術研究科 情報科学領域 サイバネティクス・リアリティ工学分野 教員（准教授）公募 情報学 - 人間情報学 -- 情報学 - 情報学フロンティア -- 複合領域 - 人間医工学 常勤 (任期なし) 2020年12月25日
D120111559  九州大学 研究員、技術員の募集（GC-MS、LC-MS、HPLC、抽出） 化学 - 全て -- 農学 - 全て -- 複合領域 - 全て 常勤 (任期なし) 2020年12月28日
D120111628  九州大学 准教授公募（アイソトープ統合安全管理センター放射線安全管理部） 医歯薬学 - 放射線医学 -- 総合生物 - 放射線生物学 -- 複合領域 - 放射線安全管理学 常勤 (任期なし) 2021年01月05日
D120111635  常葉大学 教授、准教授または講師の公募（柔道整復学） 複合領域 - 柔道整復学 -- 複合領域 - 健康・スポーツ科学 -- 医歯薬学 - 基礎医学 常勤 (任期なし) 2021年01月20日
D120110245  岩手大学 情報基盤センター准教授の公募 情報学 - 全て -- 工学 - 電気電子工学 -- 複合領域 - 科学教育・教育工学 常勤 (任期なし) 2020年12月11日
D120110337  独立行政法人国立文化財機構 国立文化財機構研究職員（地域連携・文化財防災） 人文学 - 史学 -- 人文学 - 芸術学 常勤 (任期なし) 2020年12月07日
D120110338  独立行政法人国立文化財機構 国立文化財機構研究職員（博物館防災・文化財防災） 人文学 - 史学 -- 人文学 - 芸術学 常勤 (任期なし) 2020年12月07日
D120110339  独立行政法人国立文化財機構 国立文化財機構研究職員（無形文化遺産・文化財防災） 人文学 - 史学 -- 人文学 - 芸術学 常勤 (任期なし) 2020年12月07日
D120110340  独立行政法人国立文化財機構 国立文化財機構研究職員（文化財情報システム・文化財防災） 人文学 - 史学 -- 人文学 - 芸術学 常勤 (任期なし) 2020年12月07日
D120111591  神戸大学 准教授の公募（機械工学専攻　材料設計工学分野） 工学 - 機械工学 常勤 (任期なし) 2021年01月14日
D120111739  大島商船高等専門学校 【数学】一般科目教員（准教授，講師又は助教） 数物系科学 - 数学 常勤 (任期なし) 2021年01月08日
D120111740  大島商船高等専門学校 【情報系】商船学科教員（教授、准教授，講師または助教） 工学 - 電気電子工学 -- 工学 - 総合工学 -- 情報学 - 全て 常勤 (任期なし) 2021年01月08日
D120111625  大阪大学 大阪大学大学院基礎工学研究科　助教の公募 工学 - 機械工学 -- 工学 - 材料工学 常勤 (任期なし) 2021年01月29日
D120111018  一般財団法人電力中央研究所 研究員募集（パワー半導体デバイス・パワーエレクトロニクス機器の性能評価、高信頼化） 工学 - 電気電子工学 -- 工学 - 材料工学 -- 総合理工 - 応用物理学 常勤 (任期なし) 2021年01月31日
D120111385  名古屋大学 【卓越研究員】准教授の公募について（名古屋大学大学院工学研究科） 工学 - 材料工学 -- 工学 - プロセス工学・化学工学 常勤 (任期なし) 2020年12月11日
D120111796  筑波大学附属中学校 中学校　技術・家庭科（家庭分野）教諭の公募 社会科学 - 教育学 常勤 (任期なし) 2020年12月25日
D120111808  地方独立行政法人青森県産業技術センター （地独）青森県産業技術センター研究職員募集（令和3年4月1日採用） 工学 - 全て 常勤 (任期なし) 2021年01月05日
D120011346  株式会社シルクルネッサンス 研究リーダーおよび研究員（正社員）の募集（創薬支援関連研究開発型ベンチャー） 生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て 常勤 (任期なし) 2020年12月25日
D120111577  岐阜大学 岐阜大学工学部電気電子・情報工学科　情報コース教員（教授）公募 情報学 - 情報学フロンティア -- 情報学 - 画像認識 常勤 (任期なし) 2020年12月20日
D120111587  立正大学 教授または准教授の公募（環境情報・環境科学分野） 環境学 - 環境情報学・環境科学 常勤 (任期なし) 2020年12月18日
D120111793  ルクサナバイオテク株式会社 核酸医薬分野のバイオロジー実験技術員（正社員） 複合領域 - 生体分子科学 -- 医歯薬学 - 薬学 -- 医歯薬学 - 基礎医学 常勤 (任期なし) 2021年02月28日
D120111767  京都大学 京都大学大学院理学研究科　附属天文台　教授 その他 - 理学のすべての分野 常勤 (任期なし) 2021年01月29日
D120111741  北海道大学 准教授の公募（建築都市部門空間デザイン分野） 工学 - 建築学 常勤 (任期なし) 2021年01月29日
D120111763  神戸大学 神戸大学 大学教育推進機構 大学教育研究推進室 准教授の公募 （教学マネジメントおよび評価・FD業務） 社会科学 - 教育学 -- その他 - 高等教育の運営にかかわる実務および研究 常勤 (任期なし) 2021年01月12日
D120111540  長崎大学 長崎大学感染症共同研究拠点　施設・安全管理部門　助教の募集 医歯薬学 - 全て -- 生物学 - 全て -- 農学 - 全て 常勤 (任期なし) 2020年12月25日
D120060355  横浜高等教育専門学校 養護科　専任教員の募集 社会科学 - 教育学 -- その他 - 養護 -- その他 - 学校保健 常勤 (任期なし) 2021年01月29日
D120110826  株式会社ベイシスコンサルティング リサーチャー募集（土木工学、情報フロンティア） 工学 - 土木工学 -- 情報学 - 情報学フロンティア -- 複合領域 - インフラマネジメント・分析 常勤 (任期なし) 2021年02月28日
D120111788  青森明の星短期大学 専任教員（教授、准教授、または専任講師）の公募（ビジネス分野） 社会科学 - 経営学 常勤 (任期なし) 2021年01月07日
D120100108  至誠館大学 至誠館大学現代社会学部　子ども生活学専攻（造形教育分野）専任教員【教授・准教授または講師】の公募について 社会科学 - 教育学 常勤 (任期なし) 2021年01月15日
D120100107  至誠館大学 至誠館大学現代社会学部　子ども生活学専攻(幼児教育学分野）専任教員【教授】の公募について 社会科学 - 教育学 常勤 (任期なし) 2021年01月15日
D120111824  藍野大学 教授（臨床工学分野）の公募について 医歯薬学 - 全て -- 工学 - 全て -- 複合領域 - 人間医工学 常勤 (任期なし) 2020年12月23日
D120111840  熊本大学 熊本大学大学院先端科学研究部 社会基盤環境部門 都市地域計画分野 教授候補者の公募 工学 - 土木工学 常勤 (任期なし) 2021年01月29日
D120111845  神村学園専修学校 こども学科　専任講師（教育分野）の公募 社会科学 - 教育学 常勤 (任期なし) 2021年01月08日
D120111862  独立行政法人国立文化財機構 国立文化財機構研究職員（染織） 人文学 - 史学 -- 人文学 - 芸術学 常勤 (任期なし) 2021年01月06日
D120111879  東日本国際大学 専任教員の公募（専門分野 社会福祉学　1名） 社会科学 - 社会学 常勤 (任期なし) 2020年12月30日
D120111864  都城工業高等専門学校 准教授または講師または助教の公募（建築計画分野、建築材料施工分野） 工学 - 建築学 常勤 (任期なし) 2021年01月15日
D120111836  国土技術政策総合研究所 研究職職員の公募（住宅研究部住宅計画研究室） 工学 - 建築学 常勤 (任期なし) 2021年01月14日
D120111871  平成国際大学 教授、准教授、講師（いずれも任期なし）の公募（行政学・地方自治論） 社会科学 - 政治学 常勤 (任期なし) 2020年12月22日
D120111872  函館大学 函館大学専任教員募集（経営学） 社会科学 - 経営学 常勤 (任期なし) 2021年01月08日
D120111868  北海道大学 准教授の公募（土木工学部門先端社会システム分野環境機能マテリアル工学研究室） 工学 - 土木工学 常勤 (任期なし) 2021年02月05日
D120011346  株式会社シルクルネッサンス 研究リーダーおよび研究員（正社員）の募集（創薬支援関連研究開発型ベンチャー） 生物学 - 全て -- 農学 - 全て -- 医歯薬学 - 全て 常勤 (任期なし) 2020年12月01日
D120101403  メディギア・インターナショナル株式会社 CTO 開発および製造に係る総括業務 医歯薬学 - 全て -- 総合生物 - 全て 常勤 (任期なし) 2021年03月31日
D120100111  至誠館大学 至誠館大学現代社会学部　スポーツ健康福祉専攻（スポーツ実技　卓球）専任教員【教授・准教授・講師または助教】の公募について 複合領域 - 健康・スポーツ科学 常勤 (任期なし) 2021年01月15日
D120100382  至誠館大学 至誠館大学現代社会学部　ビジネス文化専攻（経済・経営分野）専任教員【准教授または講師】の公募について 複合領域 - 経済・経営教育 常勤 (任期なし) 2021年01月15日
D120111784  桐生大学 桐生大学医療保健学部栄養学科（食べ物と健康分野）に関する教員公募 複合領域 - 食べ物と健康分野 常勤 (任期なし) 2021年01月12日
D120111893  酪農学園大学 獣医学群 獣医学類 専任教員の公募について（獣医麻酔学・准教授） 農学 - 動物生命科学 -- 農学 - 獣医学 -- その他 - 麻酔学 常勤 (任期なし) 2020年12月23日
D120111894  酪農学園大学 獣医学群 獣医学類 専任教員の公募について（生産動物病態学・助教） 農学 - 動物生命科学 -- 農学 - 獣医学 -- その他 - 動物病態学 常勤 (任期なし) 2020年12月23日
D120111895  酪農学園大学 獣医学群 獣医学類 専任教員の公募について（伴侶動物内科学・助教） 農学 - 動物生命科学 -- 農学 - 獣医学 -- その他 - 伴侶動物内科学 常勤 (任期なし) 2020年12月23日
D120111896  酪農学園大学 獣医学群 獣医学類 専任教員の公募について（獣医麻酔学・助教） 農学 - 動物生命科学 -- 農学 - 獣医学 -- その他 - 獣医麻酔学 常勤 (任期なし) 2020年12月23日
D120111897  酪農学園大学 獣医学群 獣医学類 専任教員の公募について（画像診断学・助教） 農学 - 動物生命科学 -- 農学 - 獣医学 -- その他 - 画像診断学 常勤 (任期なし) 2020年12月23日
D120090512  株式会社ポピンズ 国際乳幼児教育研究/海外研修コーディネーター募集 複合領域 - 子ども学 -- 社会科学 - 教育学 -- 社会科学 - 心理学 常勤 (任期なし) 2020年12月31日
D120111920  筑波大学附属聴覚特別支援学校 幼稚部教諭募集 社会科学 - 教育学 常勤 (任期なし) 2021年01月07日
D120111389  株式会社クロスコンパス ITコンサルタント 総合理工 - 応用物理学 -- 数物系科学 - 数学 -- 情報学 - 情報学基礎 常勤 (任期なし) 2021年03月31日
D120111774  志學館大学 教員（准教授、講師または助教）の公募（教育心理学領域） 社会科学 - 心理学 常勤 (任期なし) 2020年12月23日
D120111776  志學館大学 教員（准教授、講師または助教）の公募（日本語学領域） 人文学 - 言語学 常勤 (任期なし) 2020年12月23日
D120111330  九州国際大学 教員の公募について【人的資源管理論、ビジネスリーダーシップ論　教授、准教授または助教】 社会科学 - 経営学 常勤 (任期なし) 2020年12月25日
